nuclide,Z,A,isomer_keV,isomer_u_keV,isomer_t_s,isomer_jp,gateway_keV,gateway_u_keV,dE_keV,gateway_jp,gateway_t_s,gateway_t_op,observed,multipole,p_release,p_return,p_unknown,beta,E_released_keV,leverage,gamma_GI_eV,width_kind,gJ,sigma_int_b_eV,doppler_fwhm_eV,sigma_eff_b,N_areal_cm2,thickness_cm,neec,atomic
79kr,36,79,129.77,0.05,50,7/2+,1171.48,0.09,1041.71,11/2-,2.8e-12,,0,M2,0.486949,0.513051,0,2.32489,1104.9,1.06066,5.20299e-07,Weisskopf M2,1.5,0.00552781,1.4372,0.00361315,1.19045e+26,2380.9,0,0
79kr,36,79,129.77,0.05,50,7/2+,1299.91,0.17,1170.14,(5/2+),4.9e-13,,1,M1,0.454272,0.545728,0,1.68448,1229.09,1.05038,0.000284419,measured,0.75,1.19742,1.61439,0.696769,8.52009e+23,17.0402,0,0
79kr,36,79,129.77,0.05,50,7/2+,1363.15,0.17,1233.38,(9/2-),,,0,E1,0.966812,0.0331878,0,3.16012,1358.84,1.10172,2.27374,Weisskopf E1,1.25,14360.2,1.70164,7927.63,3.99165e+19,0.000798331,0,0
79kr,36,79,129.77,0.05,50,7/2+,1428.17,0.08,1298.4,(5/2+),4.2e-13,,1,M1,0.299657,0.700343,0,1.69459,1337.29,1.02995,0.00042936,measured,0.75,1.46814,1.79135,0.76991,7.66469e+23,15.3294,0,0
79kr,36,79,129.77,0.05,50,7/2+,1450.59,0.12,1320.82,(11/2-),1.2e-12,,0,M2,0.988561,0.0114387,0,3.16101,1449.11,1.09713,1.70505e-06,Weisskopf M2,1.5,0.0112679,1.82228,0.00580871,5.44621e+25,1089.24,0,0
79kr,36,79,129.77,0.05,50,7/2+,1609.93,0.06,1480.16,(3/2+ 5/2+),,,1,,0.721157,0.278843,0,2.26928,1573.74,1.06323,,unknown,1,,2.04211,,,,0,0
79kr,36,79,129.77,0.05,50,7/2+,1707.35,0.1,1577.58,(5/2+ 7/2),2.8e-13,,1,,0.236955,0.763045,0,2.02543,1608.33,1.01949,0.000160473,measured,1,0.49559,2.17652,0.2139,2.30819e+24,46.1638,0,0
79kr,36,79,129.77,0.05,50,7/2+,1812.42,0.11,1682.65,(5/2+),,,1,M1,0.483186,0.516814,0,1.887,1745.35,1.03726,0.175604,Weisskopf M1,0.75,357.529,2.32148,144.676,3.66295e+21,0.0732589,0,0
79kr,36,79,129.77,0.05,50,7/2+,2060,0.5,1930.23,5/2+,,,0,M1,0,0,1,0,0,0,0.265082,Weisskopf M1,0.75,410.135,2.66305,144.676,,,0,0
79kr,36,79,129.77,0.05,50,7/2+,2105.19,0.19,1975.42,(5/2+ 7/2-),,,1,,0.599864,0.400136,0,1.99223,2053.26,1.03941,,unknown,1,,2.7254,,,,0,0
79kr,36,79,129.77,0.05,50,7/2+,2583.83,0.14,2454.06,(5/2+),,,1,M1,0.423141,0.576859,0,2.47067,2508.97,1.02238,0.544765,Weisskopf M1,0.75,521.439,3.38576,144.676,2.79761e+21,0.0559522,0,0
79kr,36,79,129.77,0.05,50,7/2+,2586.29,0.11,2456.52,(3/2+),,,1,E2,0.71551,0.28449,0,2.27476,2549.37,1.0378,0.001457,Weisskopf E2,0.5,0.92788,3.38915,0.257188,1.70928e+24,34.1856,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,456.7,0.03,266.17,5/2-,,,1,E2,0.986757,0.0132426,0,0.998466,454.177,1.70634,2.24973e-08,Weisskopf E2,3,0.00732212,0.362661,0.0189665,5.28056e+25,1056.11,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,548.99,0.03,358.46,5/2+,,,0,M2,1,0,0,1.09624,548.99,1.53152,2.55247e-09,Weisskopf M2,3,0.00045804,0.488408,0.000880991,1.03544e+27,20708.7,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,608.51,0.06,417.98,3/2+,,,0,E1,1,0,0,1.0383,608.51,1.45584,0.089982,Weisskopf E1,2,7917.31,0.569505,13059.6,7.37474e+19,0.00147495,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,636.76,0.04,446.23,3/2-,,,1,M1,0.0076558,0.992344,0,1.00422,447.689,1.00327,0.00327514,Weisskopf M1,2,252.84,0.607996,390.657,2.54904e+21,0.0509808,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,700.84,0.05,510.31,5/2-,,,1,E2,0.0643699,0.93563,0,1.07005,522.574,1.02403,5.82781e-07,Weisskopf E2,3,0.0516014,0.695306,0.0697166,1.34047e+25,268.094,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,732.06,0.07,541.53,(5/2)+,,,0,M2,1,0,0,1.43214,732.06,1.35184,2.00849e-08,Weisskopf M2,3,0.00157924,0.737844,0.00201064,3.4728e+26,6945.6,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,919.95,0.08,729.42,3/2-,,,1,M1,0.00442477,0.995575,0,1.1775,730.263,1.00116,0.014305,Weisskopf M1,2,413.299,0.993847,390.657,2.17392e+21,0.0434785,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,976.65,0.1,786.12,1/2+,,,0,E1,0.227898,0.772102,0,2.00974,829.541,1.05524,0.598626,Weisskopf E1,1,7445.28,1.0711,6529.81,7.62007e+19,0.00152401,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,994.25,0.05,803.72,1/2- 3/2- 5/2-,,,1,,0.58786,0.41214,0,1.78478,915.725,1.13936,,unknown,1,,1.09508,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1025.66,0.04,835.13,3/2- 5/2-,,,1,,0.442351,0.557649,0,1.64273,919.411,1.10092,,unknown,1,,1.13788,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1100.01,0.07,909.48,5/2+,,,0,M2,0.817704,0.182296,0,1.39041,1065.28,1.1713,2.68363e-07,Weisskopf M2,3,0.00748102,1.23918,0.00567122,1.26818e+26,2536.36,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1239.08,0.1,1048.55,(3/2)+,,,1,E1,0.147714,0.852286,0,1.94573,1076.69,1.02684,1.42055,Weisskopf E1,2,19861.5,1.42867,13059.6,3.93539e+19,0.000787078,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1278.25,0.14,1087.72,(1/2 3/2),,,1,,0.210985,0.789015,0,1.73301,1127.92,1.03696,,unknown,1,,1.48204,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1280.49,0.08,1089.96,(3/2 5/2-),,,1,,0.45809,0.54191,0,1.69824,1177.24,1.08008,,unknown,1,,1.48509,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1491.64,0.18,1301.11,1/2+,,,0,E1,1,0,0,2.0543,1491.64,1.14644,2.71413,Weisskopf E1,1,12322.7,1.77278,6529.81,7.45477e+19,0.00149095,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1558.3,0.4,1367.77,,,,1,,0.0962235,0.903776,0,1.35734,1386.1,1.0134,,unknown,1,,1.86361,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1677.99,0.05,1487.46,1/2- 3/2- 5/2-,,,1,,0.0888035,0.911197,0,2.07665,1504.38,1.01137,,unknown,1,,2.02669,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1744.77,0.1,1554.24,(1/2)-,,,1,M1,0.11593,0.88407,0,1.60635,1576.33,1.01421,0.138391,Weisskopf M1,1,440.327,2.11768,195.328,3.18708e+21,0.0637416,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,1888,0.5,1697.47,5/2+,,,0,M2,0,0,1,0,0,0,6.0781e-06,Weisskopf M2,3,0.0486393,2.31283,0.0197558,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2065.08,0.17,1874.55,(1/2 3/2)-,,,1,,0.0371058,0.962894,0,1.87761,1881.62,1.00377,,unknown,1,,2.55411,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2097.02,0.21,1906.49,(1/2 3/2 5/2-),,,1,,0.00291103,0.997089,0,1.77467,1907.04,1.00029,,unknown,1,,2.59762,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2144.04,0.21,1953.51,(1/2 3/2 5/2-),,,1,,0.00196657,0.998033,0,1.52333,1953.88,1.00019,,unknown,1,,2.66169,,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2218,0.5,2027.47,5/2+,,,0,M2,0,0,1,0,0,0,1.47751e-05,Weisskopf M2,3,0.082879,2.76246,0.0281838,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2365,0.5,2174.47,1/2+,,,0,E1,0,0,1,0,0,0,12.6692,Weisskopf E1,1,20594.2,2.96275,6529.81,,,0,0
81kr,36,81,190.53,0.04,13.1,1/2-,2421,0.5,2230.47,1/2+,,,0,E1,0,0,1,0,0,0,13.6735,Weisskopf E1,1,21124.6,3.03905,6529.81,,,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,561.958,0.0008,520.401,5/2-,6.2e-12,,1,E2,0.261542,0.738458,0,1.01234,531.27,1.02089,5.43407e-05,measured,3,4.62672,0.70046,6.20498,1.59197e+23,3.18394,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,571.154,0.001,529.596,(3/2-),1.04e-12,,1,M1,0,1,0,0.998064,529.596,1,0.00043869,measured,2,24.0437,0.712837,31.6856,3.16213e+22,0.632427,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,690.146,0.008,648.588,5/2-,1.04e-11,,1,E2,0.198504,0.801496,0,1.12852,656.838,1.01272,2.85418e-05,measured,3,1.56447,0.873001,1.68346,5.26367e+23,10.5273,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,799.48,0.03,757.923,5/2+,1.7e-12,,0,M2,1,0,0,1.04062,799.48,1.05483,1.09633e-07,Weisskopf M2,3,0.00440066,1.02016,0.00405227,2.37143e+26,4742.87,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,1277.9,0.3,1236.34,1/2+,,,0,E1,0,1,0,1.99806,1236.34,1,2.36683,Weisskopf E1,1,11901.3,1.66412,6718.3,7.44957e+19,0.00148991,0,0
83kr,36,83,41.5575,0.0007,6588,1/2-,2379,0.5,2337.44,1/2+,,,0,E1,0,0,1,0,0,0,15.9946,Weisskopf E1,1,22500.7,3.1462,6718.3,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1107.32,0.07,802.449,1/2- 3/2-,,,1,,0,1,0,1,802.449,1,,unknown,1,,1.06731,,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1140.73,0.07,835.859,5/2+,3.5e-12,,0,M2,1,0,0,1,1140.73,1.36474,1.8171e-07,Weisskopf M2,3,0.00599703,1.11175,0.00506733,1.97343e+26,3946.85,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1166.69,0.06,861.819,(1/2 3/2 5/2-),,,1,,0,1,0,1,861.819,1,,unknown,1,,1.14628,,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1223.98,0.07,919.109,(5/2-),2.4e-12,,1,E2,0,1,0,1,919.109,1,0.000190099,measured,3,5.18884,1.22248,3.9873,2.50796e+23,5.01593,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1342.61,0.05,1037.74,(3/2+),,,1,E1,0.123266,0.876734,0,1.46638,1075.32,1.03621,1.42203,Weisskopf E1,2,20298.6,1.38027,13815.1,4.93627e+19,0.000987255,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1416.57,0.09,1111.7,(5/2+),4.2e-13,,0,M2,0.763942,0.236058,0,1.23606,1344.6,1.2095,7.56222e-07,Weisskopf M2,3,0.0141091,1.47864,0.0089637,9.02555e+25,1805.11,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1430.6,1,1125.73,1/2+,,,1,E1,0,1,0,1,1125.73,1,1.81529,Weisskopf E1,1,11009.9,1.4973,6907.55,1.44769e+20,0.00289538,0,0
85kr,36,85,304.871,0.02,16128,1/2-,1873.52,0.18,1568.65,(5/2)+,2.1e-13,,0,M2,0.123266,0.876734,0,2.46638,1606.23,1.02396,4.23002e-06,Weisskopf M2,3,0.0396383,2.08641,0.017847,2.27183e+25,454.365,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2031.96,0.08,1727.09,1/2- 3/2- 5/2-,,,1,,0.00225266,0.997747,0,1.83747,1727.78,1.0004,,unknown,1,,2.29715,,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2055.1,0.9,1750.23,3/2+,,,0,E1,0,0,1,0,0,0,6.82228,Weisskopf E1,2,34235.2,2.32793,13815.1,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2137.34,0.07,1832.47,(3/2 5/2)-,4.8e-13,,1,,0.0333708,0.966629,0,1.79577,1842.64,1.00555,0.000338134,measured,1,0.773961,2.43731,0.298303,1.86677e+24,37.3354,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2742.1,1.2,2437.23,1/2+,,,0,E1,0,0,1,0,0,0,18.4219,Weisskopf E1,1,23836.6,3.24169,6907.55,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2845.1,1.2,2540.23,(5/2)+,,,0,M2,0,0,1,0,0,0,4.71061e-05,Weisskopf M2,3,0.168328,3.37869,0.0468014,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,2866.4,1.4,2561.53,1/2+,,,0,E1,0,0,1,0,0,0,21.3867,Weisskopf E1,1,25052.3,3.40702,6907.55,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,3060.9,1.3,2756.03,3/2+,,,0,E1,0,0,1,0,0,0,26.6377,Weisskopf E1,2,53909.1,3.66571,13815.1,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,3113.9,1.5,2809.03,1/2+,,,0,E1,0,0,1,0,0,0,28.2042,Weisskopf E1,1,27472.9,3.73621,6907.55,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,3153.5,2.2,2848.63,1/2+,,,0,E1,0,0,1,0,0,0,29.4139,Weisskopf E1,1,27860.2,3.78888,6907.55,,,0,0
85kr,36,85,304.871,0.02,16128,1/2-,3285.1,1.9,2980.23,(1/2+),,,0,E1,0,0,1,0,0,0,33.6817,Weisskopf E1,1,29147.3,3.96392,6907.55,,,0,0
78rb,37,78,111.19,0.22,344.4,4(-),114.9,0.3,3.71,(4+),,,1,E1,0,1,0,1,3.71,1,6.13598e-08,Weisskopf E1,1,34.2641,0.00515123,6248.54,1.60037e+20,0.00320075,1,1
78rb,37,78,111.19,0.22,344.4,4(-),119.7,0.22,8.51,(3+),,,0,E1,0,1,0,2,8.51,1,7.40544e-07,Weisskopf E1,0.777778,61.1294,0.0118159,4859.98,1.02881e+20,0.00205762,1,1
78rb,37,78,111.19,0.22,344.4,4(-),134.07,0.16,22.88,(2-),,,0,E2,1,0,0,1.53135,134.07,5.8597,1.00406e-13,Weisskopf E2,0.555556,8.18993e-07,0.0317682,2.4218e-05,2.69642e+28,539285,1,1
78rb,37,78,111.19,0.22,344.4,4(-),160.73,0.17,49.54,2(+),,,0,M2,1,0,0,1.51342,160.73,3.24445,1.2549e-13,Weisskopf M2,0.555556,2.18338e-07,0.0687849,2.98185e-06,2.21592e+29,4.43185e+06,0,1
78rb,37,78,111.19,0.22,344.4,4(-),232.4,0.19,121.21,(2+),,,0,M2,0.930435,0.0695652,0,2.00024,224.665,1.85352,1.10033e-11,Weisskopf M2,0.555556,3.19798e-06,0.168297,1.78505e-05,2.8007e+28,560141,0,0
78rb,37,78,111.19,0.22,344.4,4(-),263.79,0.23,152.6,(5-),1.22e-10,,1,M1,0,1,0,1.02913,152.6,1,3.63073e-06,measured,1.22222,1.46466,0.211881,6.49378,1.49635e+23,2.99271,0,0
78rb,37,78,111.19,0.22,344.4,4(-),270.1,0.3,158.91,(5+),7.7e-11,,0,E1,0,1,0,2,158.91,1,0.00482187,Weisskopf E1,1.22222,1793.77,0.220642,7637.11,6.54698e+19,0.0013094,0,0
78rb,37,78,111.19,0.22,344.4,4(-),274.39,0.19,163.2,(3-),,,0,M1,1,0,0,2.40091,274.39,1.68131,0.000160219,Weisskopf M1,0.777778,35.9611,0.226599,149.082,2.79381e+21,0.0558763,0,0
78rb,37,78,111.19,0.22,344.4,4(-),327.49,0.2,216.3,(3+),,,1,E1,0.565963,0.434037,0,2.62978,279.229,1.29094,0.0121599,Weisskopf E1,0.777778,1553.74,0.300326,4859.98,7.82431e+19,0.00156486,0,0
78rb,37,78,111.19,0.22,344.4,4(-),334.22,0.2,223.03,(3+),,,1,E1,0.411215,0.588785,0,2.55692,268.753,1.20501,0.0133307,Weisskopf E1,0.777778,1602.08,0.309671,4859.98,8.04727e+19,0.00160945,0,0
78rb,37,78,111.19,0.22,344.4,4(-),351.03,0.23,239.84,(3+),,,0,E1,1,0,0,2.44519,351.03,1.4636,0.0165778,Weisskopf E1,0.777778,1722.83,0.333011,4859.98,8.41499e+19,0.001683,0,0
78rb,37,78,111.19,0.22,344.4,4(-),395.59,0.23,284.4,(4-),,,1,M1,0.0230831,0.976917,0,1.31712,286.967,1.00902,0.000847896,Weisskopf M1,1,80.5724,0.394881,191.677,3.96098e+21,0.0792197,0,0
78rb,37,78,111.19,0.22,344.4,4(-),398.9,0.4,287.71,(4+),,,0,E1,0,1,0,2.36709,287.71,1,0.0286172,Weisskopf E1,1,2657.17,0.399477,6248.54,6.76094e+19,0.00135219,0,0
78rb,37,78,111.19,0.22,344.4,4(-),422.8,0.3,311.61,(6+),6.7e-11,,0,M2,0,1,0,2.76007,311.61,1,1.23563e-09,Weisskopf M2,1.44444,0.000141276,0.432662,0.00030674,1.18116e+27,23623.2,0,0
78rb,37,78,111.19,0.22,344.4,4(-),440.09,0.21,328.9,(4-),,,0,M1,0.806853,0.193147,0,3.45493,418.614,1.27277,0.00131143,Weisskopf M1,1,93.1796,0.456668,191.677,1.51004e+21,0.0302009,0,0
78rb,37,78,111.19,0.22,344.4,4(-),475.89,0.24,364.7,(4-),,,0,M1,0.916453,0.0835471,0,3.15103,466.6,1.27941,0.00178797,Weisskopf M1,1,103.322,0.506376,191.677,1.65568e+21,0.0331136,0,0
78rb,37,78,111.19,0.22,344.4,4(-),488.79,0.23,377.6,6(-),2.63e-11,,1,E2,1.11022e-16,1,0,1.62846,377.6,1,6.87077e-06,measured,1.44444,0.534989,0.524287,0.958576,6.40615e+23,12.8123,0,0
78rb,37,78,111.19,0.22,344.4,4(-),528.83,0.24,417.64,(4+),,,0,E1,0.917481,0.0825191,0,3.01261,519.655,1.24426,0.0875323,Weisskopf E1,1,3857.16,0.579881,6248.54,5.31225e+19,0.00106245,0,0
78rb,37,78,111.19,0.22,344.4,4(-),538.3,0.3,427.11,(4+),,,0,E1,0.68764,0.31236,0,3.50446,503.569,1.17901,0.0936227,Weisskopf E1,1,3944.62,0.59303,6248.54,4.56667e+19,0.000913334,0,0
78rb,37,78,111.19,0.22,344.4,4(-),595.29,0.23,484.1,(5-),,,1,M1,0.225666,0.774334,0,2.69485,509.192,1.05183,0.00418176,Weisskopf M1,1.22222,167.626,0.672159,234.272,1.58396e+21,0.0316793,0,0
78rb,37,78,111.19,0.22,344.4,4(-),663.5,0.3,552.31,(5-),,,0,M1,0.402805,0.597195,0,3.12158,597.098,1.08109,0.00621016,Weisskopf M1,1.22222,191.245,0.766867,234.272,1.36743e+21,0.0273486,0,0
78rb,37,78,111.19,0.22,344.4,4(-),688.9,0.4,577.71,(5+),,,0,E1,0,1,0,3.45543,577.71,1,0.231682,Weisskopf E1,1.22222,6521.17,0.802134,7637.11,3.78938e+19,0.000757877,0,0
78rb,37,78,111.19,0.22,344.4,4(-),699.5,0.3,588.31,(5-),,,0,M1,0.958863,0.0411374,0,3.77026,694.926,1.18122,0.00750538,Weisskopf M1,1.22222,203.71,0.816852,234.272,1.13216e+21,0.0226432,0,0
78rb,37,78,111.19,0.22,344.4,4(-),736.8,0.4,625.61,(6+),,,0,M2,0,1,0,3.24594,625.61,1,4.0304e-08,Weisskopf M2,1.44444,0.00114326,0.868642,0.00123639,2.49175e+26,4983.5,0,0
78rb,37,78,111.19,0.22,344.4,4(-),785.9,0.4,674.71,(5+),,,0,E1,0.780671,0.219329,0,4.30538,761.513,1.12865,0.369074,Weisskopf E1,1.22222,7616.1,0.936816,7637.11,3.0413e+19,0.000608261,0,0
78rb,37,78,111.19,0.22,344.4,4(-),824.9,0.5,713.71,(5+),,,0,E1,0.842554,0.157446,0,4.06128,807.394,1.13126,0.436845,Weisskopf E1,1.22222,8056.33,0.990966,7637.11,3.2241e+19,0.000644819,0,0
78rb,37,78,111.19,0.22,344.4,4(-),872.19,0.24,761,(6-),,,0,E2,0.129652,0.870348,0,3.20054,775.416,1.01894,4.087e-06,Weisskopf E2,1.44444,0.07835,1.05663,0.0696575,4.48548e+24,89.7096,0,0
78rb,37,78,111.19,0.22,344.4,4(-),949.3,0.4,838.11,(6-),,,0,E2,0.509759,0.490241,0,4.20982,894.79,1.06763,6.62196e-06,Weisskopf E2,1.44444,0.104662,1.16369,0.0844891,2.81148e+24,56.2297,0,0
78rb,37,78,111.19,0.22,344.4,4(-),1017.4,0.4,906.21,(6-),,,0,E2,0.472937,0.527063,0,3.51691,958.796,1.05803,9.78646e-06,Weisskopf E2,1.44444,0.132304,1.25825,0.0987771,2.87861e+24,57.5721,0,0
78rb,37,78,111.19,0.22,344.4,4(-),1080.9,0.5,969.71,(6+),,,0,M2,0.816885,0.183115,0,4.96318,1060.54,1.09367,3.60612e-07,Weisskopf M2,1.44444,0.00425755,1.34641,0.00297051,6.7828e+25,1356.56,0,0
81rb,37,81,86.31,0.06,1830,9/2+,153.484,0.019,67.174,5/2-,2.1e-10,,0,M2,1,0,0,0.942507,153.484,2.28487,5.89879e-13,Weisskopf M2,0.6,6.02858e-07,0.0915257,6.1876e-06,1.71472e+29,3.42944e+06,0,1
81rb,37,81,86.31,0.06,1830,9/2+,245.273,0.025,158.963,5/2+,,,1,E2,0.834304,0.165696,0,0.969379,230.972,1.45299,1.70929e-09,Weisskopf E2,0.6,0.000311945,0.21659,0.00135298,7.62458e+26,15249.2,0,0
81rb,37,81,86.31,0.06,1830,9/2+,433.7,0.4,347.39,(7/2+),,,1,M1,0,1,0,0.994382,347.39,1,0.00154527,Weisskopf M1,0.8,78.7343,0.473325,156.263,6.43563e+21,0.128713,0,0
81rb,37,81,86.31,0.06,1830,9/2+,457,0.5,370.69,(5/2)-,,,0,M2,0,0,1,0,0,0,3.01864e-09,Weisskopf M2,0.6,0.000101308,0.505071,0.000188426,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,486.69,0.05,400.38,(5/2-),,,0,M2,1,0,0,1.19449,486.69,1.21557,4.4373e-09,Weisskopf M2,0.6,0.000127652,0.545524,0.000219819,3.8085e+27,76170,0,0
81rb,37,81,86.31,0.06,1830,9/2+,612.27,0.23,525.96,7/2-,3.7e-12,,0,E1,1,0,0,1.7041,612.27,1.1641,0.179286,Weisskopf E1,0.8,3985.06,0.716629,5223.85,1.12335e+20,0.00224669,0,0
81rb,37,81,86.31,0.06,1830,9/2+,630.59,0.06,544.28,(5/2+),,,1,E2,0.993511,0.0064893,0,1.71172,630.03,1.15755,8.04354e-07,Weisskopf E2,0.6,0.0125215,0.741591,0.0158615,3.6832e+25,736.64,0,0
81rb,37,81,86.31,0.06,1830,9/2+,709.18,0.27,622.87,(13/2)+,6e-12,,1,E2,0,1,0,0.998203,622.87,1,7.60396e-05,measured,1.4,2.109,0.848671,2.33447,4.29135e+23,8.58269,0,0
81rb,37,81,86.31,0.06,1830,9/2+,827.5,0.7,741.19,(5/2)+,,,0,E2,0.211689,0.788311,0,1.98804,759.461,1.02465,3.76689e-06,Weisskopf E2,0.6,0.0316212,1.00988,0.0294142,1.71009e+25,342.017,0,0
81rb,37,81,86.31,0.06,1830,9/2+,896.25,0.27,809.94,(7/2-),,,0,E1,0.999784,0.000216335,0,1.90918,896.231,1.10654,0.654708,Weisskopf E1,0.8,6136.7,1.10356,5223.85,1.00268e+20,0.00200536,0,0
81rb,37,81,86.31,0.06,1830,9/2+,913,0.5,826.69,(5/2+),,,0,E2,0,0,1,0,0,0,6.50203e-06,Weisskopf E2,0.6,0.043875,1.12638,0.0365918,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,913.15,0.28,826.84,9/2-,1.46e-12,,0,E1,1,0,0,2.19418,913.15,1.10439,0.696552,Weisskopf E1,1,7830.93,1.12658,6529.81,6.97954e+19,0.00139591,0,0
81rb,37,81,86.31,0.06,1830,9/2+,987.09,0.3,900.78,(11/2+),,,1,M1,0,1,0,1.95472,900.78,1,0.0269408,Weisskopf M1,1.2,306.236,1.22733,234.394,2.18257e+21,0.0436514,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1035.3,0.4,948.99,(11/2+),,,1,M1,0,1,0,1.25328,948.99,1,0.031502,Weisskopf M1,1.2,322.626,1.29301,234.394,3.40413e+21,0.0680827,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1174.28,0.33,1087.97,(9/2-),,,0,E1,1,0,0,2.44929,1174.28,1.07933,1.58686,Weisskopf E1,1,10304.1,1.48238,6529.81,6.25256e+19,0.00125051,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1390,0.5,1303.69,(5/2)+,,,0,E2,0,0,1,0,0,0,6.34172e-05,Weisskopf E2,0.6,0.172073,1.7763,0.0910012,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1416.42,0.31,1330.11,11/2-,1.04e-12,,0,E1,1,0,0,2.74779,1416.42,1.06489,2.89969,Weisskopf E1,1.2,15116.8,1.8123,7835.78,4.64445e+19,0.00092889,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1596.26,0.35,1509.95,(11/2-),,,0,E1,0.999892,0.000108167,0,3.05168,1596.25,1.05715,4.24206,Weisskopf E1,1.2,17160.7,2.05733,7835.78,4.18195e+19,0.000836389,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1721,0.5,1634.69,(5/2)+,,,0,E2,0,0,1,0,0,0,0.000196568,Weisskopf E2,0.6,0.339231,2.22729,0.143077,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1738.71,0.29,1652.4,13/2-,3.33e-12,,0,M2,1,0,0,3.2388,1738.71,1.05223,5.31292e-06,Weisskopf M2,1.4,0.0209379,2.25142,0.00873629,3.53418e+25,706.836,0,0
81rb,37,81,86.31,0.06,1830,9/2+,1967.69,0.35,1881.38,(13/2-),,,0,M2,1,0,0,3.59854,1967.69,1.04588,1.01658e-05,Weisskopf M2,1.4,0.0309042,2.56341,0.0113253,2.45371e+25,490.742,0,0
81rb,37,81,86.31,0.06,1830,9/2+,2072,0.5,1985.69,(5/2)+,,,0,E2,0,0,1,0,0,0,0.000519867,Weisskopf E2,0.6,0.608028,2.70554,0.211116,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,2205,0.5,2118.69,(5/2)+,,,0,E2,0,0,1,0,0,0,0.000718906,Weisskopf E2,0.6,0.73857,2.88675,0.240344,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,2393,0.5,2306.69,(5/2)+,,,0,E2,0,0,1,0,0,0,0.00109972,Weisskopf E2,0.6,0.953141,3.1429,0.28489,,,0,0
81rb,37,81,86.31,0.06,1830,9/2+,2425.68,0.29,2339.37,(13/2-),,,0,M2,0.999892,0.000108167,0,4.05168,2425.67,1.03689,3.0217e-05,Weisskopf M2,1.4,0.0594135,3.18743,0.0175103,1.40952e+25,281.903,0,0
82rb,37,82,69,1.5,23299.2,5-,189.6,1.2,120.6,3(-),2.1e-10,,0,E2,1,0,0,1.88059,189.6,1.57214,4.36694e-10,Weisskopf E2,0.636364,0.000146856,0.163314,0.000844727,6.2949e+26,12589.8,0,0
