nuclide,isomer_keV,isomer_t_s,signal_gateway_keV,signal_dE_keV,signal_line_keV,signal_yield,veto_gateway_keV,veto_dE_keV,veto_yield_of_signal_line,veto_p_release,veto_beta,signal_neec,veto_neec
26al,228.3,6.346,1759.03,1530.73,1342.14,0.980392,2660.92,2432.62,0,0.669769,2.25146,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,665.56,519.2,0.0919771,0.932313,1.09244,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,461,314.64,461,0.995025,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,2721.1,2574.74,0.0707155,0.786482,1.75073,0,0
34cl,146.4,1919.4,665.56,519.2,665.55,0.840336,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,1230.26,1083.9,461,0.404216,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,1230.26,1083.9,461,0.404216,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,1887.14,1740.78,461,0.570571,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,1887.14,1740.78,461,0.570571,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2158.05,2011.69,461,0.704982,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2158.05,2011.69,461,0.704982,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,665.56,519.2,0,0.932313,1.09244,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,1230.26,1083.9,0,0.659672,1.68761,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2611.05,2464.69,0,0.528201,2.01789,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,2721.1,2574.74,0,0.786482,1.75073,0,0
34cl,146.4,1919.4,2580.4,2434.04,2580.3,0.934579,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2611.05,2464.69,461,0.290866,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2611.05,2464.69,461,0.290866,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,2721.1,2574.74,461,0.546809,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,2721.1,2574.74,461,0.546809,3129.13,2982.77,0,0.974617,1.05071,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,461,314.64,0,0.995025,1,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,665.56,519.2,0,0.932313,1.09244,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,1230.26,1083.9,0,0.659672,1.68761,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,1887.14,1740.78,0,0.639991,1.61209,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2158.05,2011.69,0,0.899526,1.81719,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2580.4,2434.04,0,0.97677,1.05488,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2611.05,2464.69,0,0.528201,2.01789,0,0
34cl,146.4,1919.4,3129.13,2982.77,3129,0.943396,2721.1,2574.74,0,0.786482,1.75073,0,0
42sc,616.3,61.7,3174.66,2558.38,1329.8,1,3546,2929.72,0,1,3.87366,0,0
42sc,616.3,61.7,3546,2929.72,1358.6,1,3174.66,2558.38,0,1,3.91085,0,0
44sc,271.2,210996,631.07,359.829,281.2,0.489486,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,631.07,359.829,281.2,0.489486,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,1006.53,735.289,581.5,0.335442,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,1051.3,780.059,701.4,1,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,1683.29,1412.05,1052.3,0.5,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2210.55,1939.31,1013,0.5,2606.75,2335.51,0,0.697403,3.18501,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,2606.75,2335.51,1409.2,0.847458,2789.47,2518.23,0,0.527997,3.00975,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,349.86,78.619,0,1,0.997427,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,631.07,359.829,0,1,2.21048,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1006.53,735.289,0,1,2.7103,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1051.3,780.059,0,1,1.99743,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1197.49,926.249,0,0.76129,2.33184,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,1683.29,1412.05,0,1,2.98415,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,2210.55,1939.31,0,0.880645,3.52107,0,0
44sc,271.2,210996,2789.47,2518.23,578.9,0.25,2606.75,2335.51,0,0.697403,3.18501,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,1692.2,1549.67,0.0817264,1,2.08173,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,227.767,85.239,227.767,1,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2459.64,2317.11,0.0720217,0.705827,2.26508,0,0
46sc,142.5,18.75,444.137,301.609,216.367,0.999101,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2459.64,2317.11,0.0720866,0.705827,2.26508,0,0
46sc,142.5,18.75,991.33,848.802,547.11,1,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,1394.18,1251.65,227.767,0.991959,1692.2,1549.67,0.0817264,1,2.08173,0,0
46sc,142.5,18.75,1394.18,1251.65,227.767,0.991959,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,1394.18,1251.65,227.767,0.991959,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,1692.2,1549.67,1064.8,1,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2459.64,2317.11,0,0.705827,2.26508,0,0
46sc,142.5,18.75,1707.83,1565.3,1123.6,0.707214,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,2070.31,1927.78,554.53,0.835839,2459.64,2317.11,0,0.705827,2.26508,0,0
46sc,142.5,18.75,2221.71,2079.18,227.767,0.829509,1692.2,1549.67,0.0817264,1,2.08173,0,0
46sc,142.5,18.75,2221.71,2079.18,227.767,0.829509,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2221.71,2079.18,227.767,0.829509,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,2410.45,2267.92,228.707,0.59344,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2410.45,2267.92,228.707,0.59344,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,2459.64,2317.11,0,0.705827,2.26508,0,0
46sc,142.5,18.75,2442.3,2299.77,1857.42,0.512558,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,2459.64,2317.11,2179.3,0.359712,2705.24,2562.71,0,1,2.53777,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,227.767,85.239,0,1,1,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,444.137,301.609,0,0.999101,1.9991,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,991.33,848.802,0,0.999101,2.9991,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,1394.18,1251.65,0,0.991959,2.40516,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,1692.2,1549.67,0,1,2.08173,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,1707.83,1565.3,0,0.511339,2.32566,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,2070.31,1927.78,0,1,3.52475,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,2221.71,2079.18,0,0.83479,2.83548,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,2410.45,2267.92,0,1,2.55261,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,2442.3,2299.77,0,0.654198,2.28542,0,0
46sc,142.5,18.75,2705.24,2562.71,1870.11,0.540541,2459.64,2317.11,0,0.705827,2.26508,0,0
50mn,225.3,105,1143.28,918,343,0.988142,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,1143.28,918,343,0.988142,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,1143.28,918,0,1,2.60253,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,1917.11,1691.83,0,0.636943,3.04979,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,1931.53,1706.25,0,1,3.54722,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,2556.98,2331.7,0,0.652361,3.45087,0,0
50mn,225.3,105,1797.91,1572.63,997.7,0.990099,2716.16,2490.88,0,1,3.14623,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,1143.28,918,0,1,2.60253,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,1931.53,1706.25,0,1,3.54722,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,2556.98,2331.7,0,0.652361,3.45087,0,0
50mn,225.3,105,1917.11,1691.83,773.6,0.636943,2716.16,2490.88,0,1,3.14623,0,0
50mn,225.3,105,1931.53,1706.25,788,0.944287,1143.28,918,0,1,2.60253,0,0
50mn,225.3,105,1931.53,1706.25,788,0.944287,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,1931.53,1706.25,788,0.944287,1917.11,1691.83,0,0.636943,3.04979,0,0
50mn,225.3,105,1931.53,1706.25,788,0.944287,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,1931.53,1706.25,788,0.944287,2716.16,2490.88,0,1,3.14623,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,1143.28,918,0,1,2.60253,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,1917.11,1691.83,0,0.636943,3.04979,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,1931.53,1706.25,0,1,3.54722,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,2556.98,2331.7,0,0.652361,3.45087,0,0
50mn,225.3,105,2340.11,2114.83,1540.2,0.884173,2716.16,2490.88,0,1,3.14623,0,0
50mn,225.3,105,2556.98,2331.7,343,0.620997,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,2556.98,2331.7,343,0.620997,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,1143.28,918,0,1,2.60253,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,1797.91,1572.63,0,0.990099,2.59382,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,1917.11,1691.83,0,0.636943,3.04979,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,1931.53,1706.25,0,1,3.54722,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,2340.11,2114.83,0,1,2.60087,0,0
50mn,225.3,105,2716.16,2490.88,841.6,0.929368,2556.98,2331.7,0,0.652361,3.45087,0,0
60mn,271.8,1.77,407.47,135.67,407,0.529101,347.59,75.79,0,1,1,0,0
54co,197.1,88.8,2082.8,1885.7,261.3,0.704225,2911.6,2714.5,0,0.513208,3.7582,0,0
54co,197.1,88.8,2911.6,2714.5,259.6,0.8,2082.8,1885.7,0,0.704225,3.32838,0,0
58co,24.9,31870.8,111.76,86.81,111.52,0.564331,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,111.76,86.81,111.52,0.564331,1040.12,1015.17,0,0.593163,1.77216,0,0
58co,24.9,31870.8,365.66,340.71,365.58,0.979845,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,365.66,340.71,365.58,0.979845,1044.26,1019.31,0,0.936631,1.17666,0,0
58co,24.9,31870.8,365.66,340.71,365.58,0.979845,1605.62,1580.67,0,0.758979,1.69991,0,0
58co,24.9,31870.8,365.66,340.71,365.58,0.979845,1669.9,1644.95,0,0.884919,2.36897,0,0
58co,24.9,31870.8,365.66,340.71,365.58,0.979845,1978.8,1953.85,0,0.936631,2.17666,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,1040.12,1015.17,0,0.593163,1.77216,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,1044.26,1019.31,0,0.936631,1.17666,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,1605.62,1580.67,0,0.758979,1.69991,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,1669.9,1644.95,0,0.884919,2.36897,0,0
58co,24.9,31870.8,885.63,860.68,773.93,0.442478,1978.8,1953.85,0,0.936631,2.17666,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,885.63,860.68,0,0.554038,1.80378,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,1044.26,1019.31,0,0.936631,1.17666,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,1605.62,1580.67,0,0.758979,1.69991,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,1669.9,1644.95,0,0.884919,2.36897,0,0
58co,24.9,31870.8,1040.12,1015.17,582.87,0.460713,1978.8,1953.85,0,0.936631,2.17666,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,885.63,860.68,0,0.554038,1.80378,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,1040.12,1015.17,0,0.593163,1.77216,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,1605.62,1580.67,0,0.758979,1.69991,0,0
58co,24.9,31870.8,1044.26,1019.31,1044.18,0.813008,1669.9,1644.95,0,0.884919,2.36897,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,885.63,860.68,0,0.554038,1.80378,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,1040.12,1015.17,0,0.593163,1.77216,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,1044.26,1019.31,0,0.936631,1.17666,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,1669.9,1644.95,0,0.884919,2.36897,0,0
58co,24.9,31870.8,1605.62,1580.67,1494.66,0.735294,1978.8,1953.85,0,0.936631,2.17666,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,365.66,340.71,0,0.989717,1.00723,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,885.63,860.68,0,0.554038,1.80378,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,1040.12,1015.17,0,0.593163,1.77216,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,1044.26,1019.31,0,0.936631,1.17666,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,1605.62,1580.67,0,0.758979,1.69991,0,0
58co,24.9,31870.8,1669.9,1644.95,619.9,1,1978.8,1953.85,0,0.936631,2.17666,0,0
58co,24.9,31870.8,1978.8,1953.85,934.7,1,111.76,86.81,0,0.680985,0.940261,0,0
58co,24.9,31870.8,1978.8,1953.85,934.7,1,365.66,340.71,0,0.989717,1.00723,0,0
