nuclide,Z,A,state_index,E_keV,t_half_s,lambda_m_per_s,Jpi,decay_modes
132Sbm,51,132,1,150.0,245.99999999999997,0.0028176714656908347,(8-),B-=100
132Sbn,51,132,2,254.5,1.02e-07,6795560.593724954,(6-),IT=100
132Tem,52,132,1,1774.8,1.4500000000000001e-07,4780325.383172036,6+,IT=100
132Ten,52,132,2,1925.47,2.8499999999999998e-05,24320.95370385773,7-,IT=100
132Tep,52,132,3,2723.3,3.62e-06,191477.12170164235,(10+),IT=100
132Im,53,132,1,110.0,4993.2,0.00013881822890329755,(8-),IT=86 2;B-=14 2
132Xem,54,132,1,2752.21,0.00839,82.6158737258576,(10+),IT=100
132Lam,57,132,1,188.2,1458.0,0.00047540958886141654,6-*,IT=76;B+=24
132Cem,58,132,1,2341.15,0.0094,73.7390617616963,8-,IT=100
132Prm,59,132,1,30.0,1.0,0.6931471805599453,(5+),B+ ?;IT ?
132Prn,59,132,2,250.0,2.4599999999999997e-06,281767.1465690835,(8+),IT=100
132Prp,59,132,3,300.0,4.86e-07,1426228.7665842497,(8-),IT=100
133Inm,49,133,1,330.0,0.167,4.15058191952063,(1/2-),B-=100;B-n=93 3
133Sbm,51,133,1,4541.0,1.6539999999999997e-05,41907.32651511157,(21/2+),IT=100
133Tem,52,133,1,334.26,3324.0,0.00020852803265943,(11/2-),B-=83.5 20;IT=16.5 20
133Ten,52,133,2,1610.4,1.0000000000000001e-07,6931471.805599452,(19/2-),IT=100
133Im,53,133,1,1634.148,9.0,0.07701635339554948,(19/2-),IT=100
133Ip,53,133,3,2493.7,4.6900000000000003e-07,1477925.7581235506,(23/2+),IT=100
133Xem,54,133,1,233.221,189907.19999999998,3.6499257561585098e-06,11/2-*,IT=100
133Xen,54,133,2,2147.0,0.00864,80.22536812036404,(23/2+),IT=100
133Bam,56,133,1,288.252,140040.0,4.949637107683128e-06,11/2-*,IT=99.9896 4;EC=0.0104 5
133Cem,58,133,1,37.2,18360.0,3.7753114409583074e-05,9/2-*,B+=100
133Prm,59,133,1,192.12,1.1,0.6301338005090411,(11/2-),IT=100
133Ndn,60,133,2,176.1,3.01e-07,2302814.5533553,(9/2-),IT=100
133Pmm,61,133,1,129.7,8.0,0.08664339756999316,(11/2-),B+ ?;IT ?
133Smm,62,133,1,120.0,3.5,0.19804205158855578,(1/2-),B+=?;IT ?;B+p ?
134Inm,49,134,1,56.7,3.5e-06,198042.0515885558,(5-),IT=100
134Snm,50,134,1,1247.4,8.700000000000001e-08,7967208.971953393,6+,IT=100
134Sbm,51,134,1,279.0,10.01,0.06924547258341111,(7-),B-=100;B-n=0.088 4
134Tem,52,134,1,1691.34,1.645e-07,4213660.672096932,6+,IT=100
134Im,53,134,1,316.49,211.2,0.0032819468776512564,(8)-,IT=97.7 10;B-=2.3 10
134Xem,54,134,1,1965.5,0.29,2.3901626915860184,7-,IT=100
134Xen,54,134,2,3025.2,4.9999999999999996e-06,138629.43611198908,(10+),IT=100
134Csm,55,134,1,138.7441,10483.199999999999,6.611980889040993e-05,8-*,IT=100
134Bam,56,134,1,2957.2,2.6099999999999996e-06,265573.6323984465,10+,IT=100
134Lam,57,134,1,440.0,2.9e-05,23901.626915860183,(6-),IT=100
