energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
16.615,,0.0412,0.0018,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
16.615,,40.327775210060175,6.015301134687905,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
17.374,,6.62,0.17,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
17.479,,12.6,0.3,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.694,,0.0107,0.0005,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.694,,10.43469190430636,1.5593532357506383,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.795,,11.999895689952313,1.7924970863805805,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.795,,0.0123,0.0005,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.951,,1.565203785645954,0.23965115572427267,,,,,,,,,,42,51,Mo,,0,,5/2+,4.0E+3,,8,Y,126227703898.368,25245540779.6736,EC,100,,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
18.951,,0.0016,0.00009,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,EC+B+,0.12,0.01,405.8,15,41,52,Nb,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.681,,3.31,0.09,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.794,,3.82,0.1,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12
19.963,,0.51,0.021,,,,,,,,,,42,51,Mo,,2424.95,0.04,21/2+,6.85,,7,h,24660,252,IT,99.88,0.01,,,42,51,Mo,15-Dec-2010,CORAL M. BAGLIN,2026-07-12

