energy,unc_en,intensity,unc_i,start_level_hl,start_level_energy,end_level_hl,end_level_energy,multipolarity,mixing_ratio,unc_mr,conversion_coeff,unc_cc,p_z,p_n,p_symbol,p_energy_shift,p_energy,unc_pe,jp,half_life,operator_hl,unc_hl,unit_hl,half_life_sec,unc_hls,decay,decay_%,unc_d,q,unc_q,d_z,d_n,d_symbol,ensdf_publication_cut-off,ensdf_authors,Extraction_date
661.657,0.003,89.9,0.14,153.12,661.659,,0.0,M4,,,0.1124,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
4.966,,0.9659496,0.045405673164484635,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
31.816,,2.1012532500441274,0.03161834979367984,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
32.193,,3.871137159255946,0.05545471738276737,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
36.482,,1.1386658072683125,0.02035716548562243,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
36.827,,1.4256095906999273,0.02484314592901493,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12
37.255,,0.28694378343161475,0.007663612335085131,,,,,,,,,,56,81,Ba,,661.659,0.003,11/2-,2.552,,1,m,153.12,0.06,IT,100,,,,56,81,Ba,1-Oct-2006,E. BROWNE and  J. K. TULI,2026-07-12

